condition,layer,token_slot,mean_logprob,std_logprob,mean_prob,std_prob,count
caption,0,A_content,-11.453769216537475,0.768365360328691,1.4137581721021175e-05,1.152113535880775e-05,100
caption,0,B_content,-11.65007875442505,0.7820526685398859,1.177211106916137e-05,9.954227584268891e-06,100
caption,0,none,-11.415782403945922,0.7608152723444797,1.4616422067647895e-05,1.1857773791694069e-05,100
caption,0,user,-11.559053421020508,0.8072206252610429,1.3094172007298528e-05,1.1319133112300516e-05,100
caption,0,user_text,-11.800509061813354,0.8209239304687214,1.0420719687997704e-05,9.175646278336714e-06,100
caption,0,vision,-11.263299398422241,0.7530768866304364,1.6897415397141812e-05,1.3482617287997435e-05,100
caption,0,vision_half1,-11.35472635269165,0.7583703467455994,1.54959604186727e-05,1.2449327103871356e-05,100
caption,0,vision_half2,-11.359254922866821,0.7555495872857957,1.539065673772601e-05,1.2325529191876271e-05,100
caption,1,A_content,-10.946045961380005,0.8497075622938475,2.4761411868846837e-05,2.1650727800724592e-05,100
caption,1,B_content,-11.12578737258911,0.8584169620433283,2.0893533381392755e-05,1.862241078547773e-05,100
caption,1,none,-10.875991868972779,0.8438966367428147,2.6463023663424993e-05,2.305077623308763e-05,100
caption,1,user,-11.224436864852905,0.8700868280560523,1.9105987995355417e-05,1.7483567074439708e-05,100
caption,1,user_text,-11.402505474090576,0.8834966459370516,1.6210083431405718e-05,1.498278446909899e-05,100
caption,1,vision,-10.720816259384156,0.8410224784660514,3.0693267382407975e-05,2.6152835379303634e-05,100
caption,1,vision_half1,-10.808580770492554,0.8442244662285251,2.826113807107788e-05,2.4387746544017674e-05,100
caption,1,vision_half2,-10.819632987976075,0.8384279953559433,2.783387948768023e-05,2.392020668008288e-05,100
caption,2,A_content,-11.450864458084107,1.0057764376060123,1.6694085147018894e-05,1.6501017204094903e-05,100
caption,2,B_content,-11.58010669708252,1.0161369705225656,1.4798230537116072e-05,1.4734309989509922e-05,100
caption,2,none,-11.418516206741334,0.9967303707624102,1.7094223113732733e-05,1.6608811934480343e-05,100
caption,2,user,-11.606311407089233,1.0854001064658145,1.539181886793606e-05,1.669969228597881e-05,100
caption,2,user_text,-11.86535698890686,1.0618933920670242,1.176197736096513e-05,1.282326258681672e-05,100
caption,2,vision,-11.190162515640258,1.0079335912242102,2.1472941144625324e-05,2.0410873034740488e-05,100
caption,2,vision_half1,-11.355707416534424,0.9999130815624517,1.819890157573078e-05,1.7515137924164044e-05,100
caption,2,vision_half2,-11.371602811813354,0.9940020222340569,1.7827597500947937e-05,1.7114371583458734e-05,100
caption,3,A_content,-12.46174370765686,1.077066794693044,6.5322232896412836e-06,7.23092357215266e-06,100
caption,3,B_content,-12.71531367301941,1.0843781838842421,5.249796777931106e-06,6.33923606114314e-06,100
caption,3,none,-12.571078386306763,1.0712718756916098,5.858774541296088e-06,6.529368690836656e-06,100
caption,3,user,-12.427780246734619,1.1152832461186473,7.010536966980483e-06,7.72187890474173e-06,100
caption,3,user_text,-12.658787240982056,1.0882053002043919,5.502062277373946e-06,6.309262538742895e-06,100
caption,3,vision,-12.233310852050781,1.0552495155308241,8.019910114268078e-06,8.39224567629224e-06,100
caption,3,vision_half1,-12.490482606887817,1.0715579351290336,6.326270591048629e-06,6.881959761596081e-06,100
caption,3,vision_half2,-12.539712858200073,1.0661035711546907,5.995140583860673e-06,6.517389368157524e-06,100
caption,4,A_content,-12.394638233184814,1.242214632585353,8.131339476601717e-06,1.0743135953244082e-05,100
caption,4,B_content,-12.90073712348938,1.2716681795875675,5.275327087047552e-06,7.634816594511178e-06,100
caption,4,none,-12.716658868789672,1.2794835661345736,6.212323248095691e-06,8.644038217556175e-06,100
caption,4,user,-12.524886388778686,1.2048712364923466,6.825908444540023e-06,8.109570817807696e-06,100
caption,4,user_text,-12.786219482421876,1.1911033935910245,5.2936756532381724e-06,6.690035380943296e-06,100
caption,4,vision,-12.315933771133423,1.249216225533902,8.897658339917369e-06,1.1361673137892057e-05,100
caption,4,vision_half1,-12.566432256698608,1.277410474170791,7.145094589182864e-06,9.474761241545746e-06,100
caption,4,vision_half2,-12.645160236358642,1.2737047465580869,6.610757909680948e-06,9.005807567239098e-06,100
caption,5,A_content,-11.20297815322876,1.2040450012761774,2.4928456508070328e-05,2.6930874880612825e-05,100
caption,5,B_content,-11.507507410049438,1.315275503556274,2.08631930798675e-05,2.553705205210126e-05,100
caption,5,none,-11.229217538833618,1.2420585690624193,2.559056109265512e-05,2.9731462228216823e-05,100
caption,5,user,-11.72004337310791,1.2893167503046312,1.612366398865315e-05,1.9335653659139227e-05,100
caption,5,user_text,-11.750558032989503,1.2477813669897506,1.5099085684070764e-05,1.742915174340937e-05,100
caption,5,vision,-10.929264430999757,1.2225623496161135,3.370351958551093e-05,3.7814491820908795e-05,100
caption,5,vision_half1,-11.094505434036256,1.2389327645202777,2.9128639032766132e-05,3.317702865043389e-05,100
caption,5,vision_half2,-11.165634088516235,1.2367488533613655,2.704352178622447e-05,3.095810242696474e-05,100
caption,6,A_content,-10.231204462051391,1.2784191438385255,7.141347291320513e-05,8.513601938774397e-05,100
caption,6,B_content,-10.530968112945557,1.3273676260829401,5.550895819851854e-05,6.843417967853427e-05,100
caption,6,none,-10.30654194355011,1.3254332074912158,6.97035522012619e-05,8.610366649681812e-05,100
caption,6,user,-10.939817399978638,1.2672406528667948,3.391814136328559e-05,3.8930638186223304e-05,100
caption,6,user_text,-11.00514036178589,1.2658947605422286,3.2533068511814076e-05,3.9114180335336215e-05,100
caption,6,vision,-10.090075840950012,1.29121070086481,8.299190899524547e-05,9.842060978944039e-05,100
caption,6,vision_half1,-10.193413238525391,1.319323963357921,7.731345289806722e-05,9.388865043520001e-05,100
caption,6,vision_half2,-10.272117719650268,1.3216840576608724,7.167430794117095e-05,8.735817431542018e-05,100
caption,7,A_content,-10.85673397064209,1.3790248546569792,4.5827444642901424e-05,7.144220705918893e-05,100
caption,7,B_content,-11.029229955673218,1.3641103660981992,3.907394088106285e-05,6.587710754763554e-05,100
caption,7,none,-10.976551003456116,1.367410365446865,4.075302251442232e-05,6.513974419352038e-05,100
caption,7,user,-11.167411766052247,1.3059961478539908,2.9929183023507663e-05,4.0597959463721503e-05,100
caption,7,user_text,-11.407813148498535,1.356708901698671,2.5896922306161068e-05,4.1099655128569666e-05,100
caption,7,vision,-10.484145784378052,1.2924157361246535,6.056671359152208e-05,8.681179931633075e-05,100
caption,7,vision_half1,-10.791993117332458,1.3479569310575261,4.7494657576552776e-05,7.187304058414223e-05,100
caption,7,vision_half2,-10.92453814983368,1.3569751997123254,4.2239160652488024e-05,6.55916157562469e-05,100
caption,8,A_content,-11.13554407119751,1.328406454524509,3.304102053310289e-05,4.9968327883399475e-05,100
caption,8,B_content,-11.012926397323609,1.3061240990805114,3.6206131759120126e-05,5.2739278140925084e-05,100
caption,8,none,-11.046966733932495,1.3311058693236912,3.556026039946959e-05,5.132936284401535e-05,100
caption,8,user,-11.294760980606078,1.2556441483674619,2.427283548636831e-05,2.9630176937784542e-05,100
caption,8,user_text,-11.515587463378907,1.3312757419395371,2.1768056975906176e-05,3.112742477467215e-05,100
caption,8,vision,-10.643315916061402,1.2704157641816614,4.980487384578284e-05,6.851258313858379e-05,100
caption,8,vision_half1,-10.858468751907349,1.3192243244127795,4.19054996289686e-05,5.7942223771384576e-05,100
caption,8,vision_half2,-11.000090932846069,1.3226570072329604,3.68456199922614e-05,5.233075827649849e-05,100
caption,9,A_content,-10.78628821849823,1.2679232350604523,4.290422899742552e-05,5.742037589953086e-05,100
caption,9,B_content,-10.638745684623718,1.2780906892179804,4.964880247745125e-05,6.457956059652837e-05,100
caption,9,none,-10.661740951538086,1.2671330153875158,4.71619617666961e-05,5.936093476755715e-05,100
caption,9,user,-11.413416490554809,1.2748720960596842,2.2417637244607623e-05,2.932930693439941e-05,100
caption,9,user_text,-11.379838228225708,1.2931990234310624,2.4412230046877468e-05,3.492881015679344e-05,100
caption,9,vision,-10.243184456825256,1.1938452940234645,6.573759448461897e-05,7.43123673564669e-05,100
caption,9,vision_half1,-10.522005882263183,1.2446291788255668,5.252771993221106e-05,6.2663593712846e-05,100
caption,9,vision_half2,-10.634884490966797,1.2612498671932861,4.794690988488681e-05,5.908606724207454e-05,100
caption,10,A_content,-10.997972755432128,1.32475934963796,3.690593710002648e-05,4.9146156255875914e-05,100
caption,10,B_content,-10.844092016220094,1.3454185380708876,4.490855657717203e-05,6.299531637986662e-05,100
caption,10,none,-10.911364784240723,1.3534711161274298,4.056807529863241e-05,5.339826966685305e-05,100
caption,10,user,-11.410961694717408,1.260043482477055,2.2767995666449608e-05,3.061672380653171e-05,100
caption,10,user_text,-11.546100912094117,1.360407364324661,2.2500975806521e-05,3.2671432570222954e-05,100
caption,10,vision,-10.388881645202638,1.243739361365513,6.073342976524039e-05,7.411436139708102e-05,100
caption,10,vision_half1,-10.733874397277832,1.3196289894318587,4.661375925090688e-05,5.9552150823293126e-05,100
caption,10,vision_half2,-10.892740621566773,1.3475383294753727,4.084655659220841e-05,5.268904983692936e-05,100
caption,11,A_content,-10.545338869094849,1.31147725615674,5.8877818425215916e-05,8.373241691571528e-05,100
caption,11,B_content,-10.483131918907166,1.3456817637023422,6.38716020635021e-05,9.047066588531373e-05,100
caption,11,none,-10.28360445022583,1.303039538429703,7.39367750849741e-05,0.00010072354254557699,100
caption,11,user,-11.532833013534546,1.2439546872212504,1.9670309153084717e-05,2.5502176970242287e-05,100
caption,11,user_text,-11.59573971748352,1.3592845645150988,2.1410898862964712e-05,3.075825378173526e-05,100
caption,11,vision,-9.940567169189453,1.235257792566907,9.59939051238653e-05,0.00012184716107771169,100
caption,11,vision_half1,-10.15801052570343,1.2755634530474949,8.143497170431322e-05,0.00010918689468356585,100
caption,11,vision_half2,-10.273529596328736,1.2973077841026333,7.390818246015259e-05,9.861350209430657e-05,100
caption,12,A_content,-10.43876678943634,1.2964344887847337,6.263047456380172e-05,8.291753055127717e-05,100
caption,12,B_content,-10.552072534561157,1.3645512614304358,5.922072079167085e-05,8.115059421150242e-05,100
caption,12,none,-10.169048166275024,1.2523190095977355,7.734923967486879e-05,9.939240832624444e-05,100
caption,12,user,-11.806409673690796,1.2853985289907033,1.5219305001363363e-05,1.8939803193380006e-05,100
